val_theta0,val_theta1,loss_values
2.8219475746154785,2.4875760078430176,1.8470662832260132
2.8230597972869873,2.487541913986206,1.8445860147476196
2.8241708278656006,2.4875080585479736,1.8421106338500977
2.8252809047698975,2.487474203109741,1.8396406173706055
2.826389789581299,2.487440586090088,1.8371751308441162
2.8274974822998047,2.4874069690704346,1.8347148895263672
2.828604221343994,2.4873733520507812,1.8322595357894897
2.829709768295288,2.487339973449707,1.8298089504241943
2.8308141231536865,2.487306594848633,1.82736337184906
2.8319175243377686,2.4872734546661377,1.8249229192733765
2.833019733428955,2.4872403144836426,1.822487235069275
2.834120988845825,2.4872074127197266,1.8200562000274658
2.8352210521698,2.4871745109558105,1.8176300525665283
2.836319923400879,2.4871416091918945,1.8152086734771729
2.8374178409576416,2.4871089458465576,1.8127925395965576
2.838514566421509,2.4870762825012207,1.8103809356689453
2.8396100997924805,2.487043857574463,1.8079744577407837
2.8407046794891357,2.487011432647705,1.805572748184204
2.8417980670928955,2.4869792461395264,1.803175926208496
2.842890501022339,2.4869470596313477,1.8007837533950806
2.8439817428588867,2.486915111541748,1.798396348953247
2.845071792602539,2.4868831634521484,1.796013593673706
2.846160888671875,2.486851215362549,1.7936365604400635
2.8472487926483154,2.4868195056915283,1.7912633419036865
2.8483357429504395,2.486787796020508,1.7888950109481812
2.849421501159668,2.4867563247680664,1.7865314483642578
2.85050630569458,2.486724853515625,1.7841730117797852
2.8515899181365967,2.4866933822631836,1.7818189859390259
2.8526723384857178,2.4866621494293213,1.7794694900512695
2.8537538051605225,2.486630916595459,1.777125358581543
2.8548340797424316,2.486599922180176,1.7747853994369507
2.8559134006500244,2.4865689277648926,1.7724504470825195
2.8569915294647217,2.4865381717681885,1.7701199054718018
2.8580687046051025,2.4865074157714844,1.7677942514419556
2.859144687652588,2.4864766597747803,1.7654731273651123
2.860219717025757,2.4864461421966553,1.763156533241272
2.8612935543060303,2.4864156246185303,1.7608445882797241
2.8623664379119873,2.4863853454589844,1.7585376501083374
2.863438129425049,2.4863550662994385,1.756235122680664
2.864508867263794,2.4863250255584717,1.7539371252059937
2.8655784130096436,2.486294984817505,1.7516437768936157
2.8666470050811768,2.486264944076538,1.7493550777435303
2.8677144050598145,2.4862351417541504,1.7470709085464478
2.8687808513641357,2.4862053394317627,1.7447913885116577
2.8698461055755615,2.486175775527954,1.742516279220581
2.870910406112671,2.4861462116241455,1.7402461767196655
2.8719735145568848,2.486116886138916,1.7379802465438843
2.8730356693267822,2.4860875606536865,1.7357193231582642
2.874096632003784,2.486058235168457,1.7334623336791992
2.8751566410064697,2.4860291481018066,1.7312103509902954
2.8762154579162598,2.4860000610351562,1.7289625406265259
2.8772733211517334,2.485971212387085,1.7267194986343384
2.8783302307128906,2.4859423637390137,1.7244808673858643
2.8793859481811523,2.4859135150909424,1.7222464084625244
2.8804407119750977,2.48588490486145,1.7200167179107666
2.8814942836761475,2.485856294631958,1.7177915573120117
2.882546901702881,2.485827922821045,1.7155708074569702
2.8835983276367188,2.485799551010132,1.713354468345642
2.8846487998962402,2.4857711791992188,1.711142897605896
2.885698080062866,2.4857430458068848,1.7089351415634155
2.886746406555176,2.485714912414551,1.7067327499389648
2.887793779373169,2.485687017440796,1.7045341730117798
2.8888399600982666,2.485659122467041,1.702339768409729
2.889885187149048,2.4856314659118652,1.7001502513885498
2.8909292221069336,2.4856038093566895,1.6979650259017944
2.891972303390503,2.4855761528015137,1.6957842111587524
2.893014430999756,2.485548734664917,1.6936076879501343
2.8940553665161133,2.4855213165283203,1.6914352178573608
2.8950953483581543,2.4854941368103027,1.6892677545547485
2.896134376525879,2.485466957092285,1.6871042251586914
2.897172212600708,2.4854397773742676,1.6849448680877686
2.8982090950012207,2.485412836074829,1.6827900409698486
2.899244785308838,2.4853858947753906,1.6806395053863525
2.9002795219421387,2.4853591918945312,1.6784937381744385
2.901313304901123,2.485332489013672,1.67635178565979
2.902345895767212,2.4853057861328125,1.6742141246795654
2.9033775329589844,2.4852793216705322,1.6720812320709229
2.9044082164764404,2.485252857208252,1.669952154159546
2.905437707901001,2.485226631164551,1.6678272485733032
2.906466245651245,2.4852004051208496,1.665706992149353
2.907493829727173,2.4851741790771484,1.6635910272598267
